seed,subject,mag_pct,pen_mult,tp,fp,n_seizures,n_inter_h,sensitivity,precision,fp_per_day,window_auroc
42,chb03,40.0,0.3,7,128,7,37.88,1.0,0.05185185185185185,81.09106907171139,0.9643
42,chb03,50.0,0.3,7,106,7,37.88,1.0,0.061946902654867256,67.153541575011,0.9643
42,chb03,55.0,0.3,7,97,7,37.88,1.0,0.0673076923076923,61.45182578090629,0.9643
42,chb03,60.0,0.3,7,85,7,37.88,1.0,0.07608695652173914,53.84953805543334,0.9643
42,chb03,65.0,0.3,7,69,7,37.88,1.0,0.09210526315789473,43.713154421469426,0.9643
42,chb03,70.0,0.3,7,53,7,37.88,1.0,0.11666666666666667,33.5767707875055,0.9643
42,chb03,75.0,0.3,7,46,7,37.88,1.0,0.1320754716981132,29.14210294764628,0.9643
42,chb03,80.0,0.3,7,38,7,37.88,1.0,0.15555555555555556,24.07391113066432,0.9643
42,chb03,40.0,0.5,7,102,7,37.88,1.0,0.06422018348623854,64.61944566652002,0.9643
42,chb03,50.0,0.5,7,85,7,37.88,1.0,0.07608695652173914,53.84953805543334,0.9643
42,chb03,55.0,0.5,7,75,7,37.88,1.0,0.08536585365853659,47.5142982842059,0.9643
42,chb03,60.0,0.5,7,62,7,37.88,1.0,0.10144927536231885,39.27848658161021,0.9643
42,chb03,65.0,0.5,7,54,7,37.88,1.0,0.11475409836065574,34.210294764628244,0.9643
42,chb03,70.0,0.5,7,47,7,37.88,1.0,0.12962962962962962,29.77562692476903,0.9643
42,chb03,75.0,0.5,7,41,7,37.88,1.0,0.14583333333333334,25.974483062032554,0.9643
42,chb03,80.0,0.5,7,35,7,37.88,1.0,0.16666666666666666,22.173339199296088,0.9643
42,chb03,40.0,1.0,7,69,7,37.88,1.0,0.09210526315789473,43.713154421469426,0.9643
42,chb03,50.0,1.0,7,54,7,37.88,1.0,0.11475409836065574,34.210294764628244,0.9643
42,chb03,55.0,1.0,7,47,7,37.88,1.0,0.12962962962962962,29.77562692476903,0.9643
42,chb03,60.0,1.0,7,40,7,37.88,1.0,0.14893617021276595,25.340959084909812,0.9643
42,chb03,65.0,1.0,7,39,7,37.88,1.0,0.15217391304347827,24.707435107787063,0.9643
42,chb03,70.0,1.0,7,36,7,37.88,1.0,0.16279069767441862,22.80686317641883,0.9643
42,chb03,75.0,1.0,7,31,7,37.88,1.0,0.18421052631578946,19.639243290805105,0.9643
42,chb03,80.0,1.0,7,25,7,37.88,1.0,0.21875,15.838099428068633,0.9643
42,chb03,40.0,2.0,7,49,7,37.88,1.0,0.125,31.04267487901452,0.9643
42,chb03,50.0,2.0,7,39,7,37.88,1.0,0.15217391304347827,24.707435107787063,0.9643
42,chb03,55.0,2.0,7,34,7,37.88,1.0,0.17073170731707318,21.53981522217334,0.9643
42,chb03,60.0,2.0,7,30,7,37.88,1.0,0.1891891891891892,19.00571931368236,0.9643
42,chb03,65.0,2.0,7,27,7,37.88,1.0,0.20588235294117646,17.105147382314122,0.9643
42,chb03,70.0,2.0,7,24,7,37.88,1.0,0.22580645161290322,15.204575450945889,0.9643
